period_id,train_start,train_end,usable_train_start,trade_start,trade_end,n_train_obs,n_trade_obs,n_train_stocks,n_trade_stocks,n_train_days,n_trade_days,rf_auc,xgb_auc,dnn_auc
0,1990-01-02,1992-12-16,1990-12-12,1992-12-17,1993-12-13,254106,124563,520,507,510,250,0.995543,0.551547,0.527867
1,1990-12-27,1993-12-13,1991-12-09,1993-12-14,1994-12-08,254249,124166,516,516,510,250,0.996151,0.550222,0.527743
2,1991-12-23,1994-12-08,1992-12-03,1994-12-09,1995-12-05,253719,124222,525,517,510,250,0.992888,0.548012,0.523206
3,1992-12-17,1995-12-05,1993-11-30,1995-12-06,1996-11-29,253366,123436,536,517,510,250,0.992189,0.549769,0.52572
4,1993-12-14,1996-11-29,1994-11-25,1996-12-02,1997-11-25,252628,123491,541,526,510,250,0.994191,0.550315,0.525674
5,1994-12-09,1997-11-25,1995-11-21,1997-11-26,1998-11-23,251870,123622,553,532,510,250,0.99235,0.550126,0.524587
6,1995-12-06,1998-11-23,1996-11-15,1998-11-24,1999-11-19,252062,123664,563,535,510,250,0.994677,0.550556,0.522756
7,1996-12-02,1999-11-19,1997-11-12,1999-11-22,2000-11-15,252247,123731,576,538,510,250,0.994734,0.550086,0.520534
8,1997-11-26,2000-11-15,1998-11-10,2000-11-16,2001-11-19,252323,123230,579,536,510,250,0.995861,0.550357,0.522826
9,1998-11-24,2001-11-19,1999-11-08,2001-11-20,2002-11-15,251929,124149,584,524,510,250,0.99113,0.553267,0.525109
10,1999-11-22,2002-11-15,2000-11-02,2002-11-18,2003-11-13,252304,124452,568,508,510,250,0.986142,0.551924,0.525615
11,2000-11-16,2003-11-13,2001-11-06,2003-11-14,2004-11-11,253541,124557,535,511,510,250,0.989916,0.550389,0.519254
12,2001-11-20,2004-11-11,2002-11-04,2004-11-12,2005-11-08,253989,124262,522,517,510,250,0.993149,0.548782,0.504818
13,2002-11-18,2005-11-08,2003-10-31,2005-11-09,2006-11-06,253805,123798,531,520,510,250,0.994835,0.546773,0.510499
14,2003-11-14,2006-11-06,2004-10-29,2006-11-07,2007-11-05,253039,123190,539,534,510,250,0.998067,0.546596,0.512757
15,2004-11-12,2007-11-05,2005-10-26,2007-11-06,2008-10-31,251959,123762,562,522,510,250,0.996027,0.54721,0.508466
16,2005-11-09,2008-10-31,2006-10-24,2008-11-03,2009-10-29,251874,124232,562,531,510,250,0.99198,0.547586,0.519557
17,2006-11-07,2009-10-29,2007-10-23,2009-10-30,2010-10-27,252908,124575,564,517,510,250,0.980484,0.554318,0.529198
18,2007-11-06,2010-10-27,2008-10-20,2010-10-28,2011-10-24,253745,124439,551,515,510,250,0.979465,0.554083,0.525661
19,2008-11-03,2011-10-24,2009-10-16,2011-10-25,2012-10-19,253994,123851,533,514,510,250,0.982931,0.550721,0.504857
20,2009-10-30,2012-10-19,2010-10-14,2012-10-22,2013-10-21,253280,123559,532,513,510,250,0.992525,0.553342,0.507208
21,2010-10-28,2013-10-21,2011-10-11,2013-10-22,2014-10-17,252382,124346,535,518,510,250,0.995772,0.550667,0.508912
22,2011-10-25,2014-10-17,2012-10-08,2014-10-20,2015-10-15,252829,124913,534,522,510,250,0.998501,0.547125,0.501223
